文件名,标注员1,标注员2,标注员3,标注员4,标注员5,平均得分
20230406_202356.m4a.wav,4.36,3.98,4.05,4.05,4.14,4.11
20230406_202643.m4a.wav,4.35,3.9,3.9,4.12,3.95,4.04
20230406_202856.m4a.wav,4.12,4.12,4.47,4.13,4.35,4.24
20230406_203302.m4a.wav,4.33,4.41,4.42,4.37,4.68,4.44
20230406_203419.m4a.wav,4.71,4.32,4.74,4.61,4.57,4.59
20230406_203647.m4a.wav,4.25,4.05,4.35,4.35,4.02,4.2
20230406_203903.m4a.wav,3.91,3.65,3.87,4.05,3.75,3.85
20230406_204048.m4a.wav,4.87,4.98,4.67,4.9,4.9,4.86
20230406_204128.m4a.wav,4.09,4.23,4.31,4.79,4.37,4.36
20230406_204634.m4a.wav,4.72,4.36,4.45,4.54,4.59,4.53
20230406_204720.m4a.wav,4.96,4.49,4.62,4.69,4.88,4.73
20230406_204802.m4a.wav,4.23,3.99,4.06,4.24,4.07,4.12
20230406_204845.m4a.wav,4.08,3.96,4.14,4.24,3.77,4.04
20230406_205022.m4a.wav,4.19,3.79,4.21,4.16,4.47,4.17
20230406_205105.m4a.wav,3.98,3.75,4.13,4.14,4.24,4.05
20230406_205218.m4a.wav,4.32,4.18,3.96,4.02,4.59,4.21
20230406_205316.m4a.wav,3.83,4.37,4.19,4.09,3.89,4.07
20230406_205429.m4a.wav,3.73,4.38,3.84,3.7,4.2,3.97
20230406_205525.m4a.wav,4.12,4.25,4.5,4.39,4.64,4.38
20230406_205607.m4a.wav,4.56,4.41,4.87,4.5,4.41,4.55
20230406_205644.m4a.wav,2.88,3.39,3.29,3.2,3,3.15
20230406_210647.m4a.wav,3.8,3.97,3.76,3.54,3.8,3.77
20230406_210804.m4a.wav,4.89,4.39,4.7,4.6,4.63,4.64
20230406_210905.m4a.wav,4.52,4.43,4.87,4.45,4.39,4.53
20230406_210934.m4a.wav,4.39,4.57,4.33,4.46,4.66,4.48
20230406_211005.m4a.wav,4.14,4.32,4.17,3.96,3.89,4.1
20230406_211056.m4a.wav,4.12,3.9,4.01,3.78,3.73,3.91
20230406_211149.m4a.wav,4.33,4.01,4.47,4.18,4.56,4.31
20230406_211229.m4a.wav,4.94,4.43,3.97,4.52,4.6,4.49
20230406_211359.m4a.wav,4.49,4.47,4.38,4.38,4.52,4.45
20230406_211444.m4a.wav,4.81,4.25,4.09,4.2,4.01,4.27
20230406_211533.m4a.wav,3.88,4.3,4.08,4.03,4.13,4.08
20230406_211625.m4a.wav,3.98,4.27,4.2,4.19,3.75,4.08
20230406_211712.m4a.wav,3.77,4.19,4.24,3.93,3.9,4.01
20230406_211815.m4a.wav,4.39,4.04,3.91,4.28,3.7,4.06
20230406_205821.m4a.wav,2.91,3,3.08,3,3.17,3.04
20230406_205916.m4a.wav,4.59,4.55,4.48,4.82,4.68,4.63
20230406_210013.m4a.wav,4.59,4.28,4.53,4.41,4.51,4.46
20230406_210115.m4a.wav,4.16,4.18,4.16,4.16,4.3,4.19
20230406_210208.m4a.wav,4.31,4.25,4.32,3.88,4.34,4.22
20230406_210255.m4a.wav,4.27,4.3,4.15,4.91,4.35,4.39
20230406_210320.m4a.wav,3.9,4.23,4.26,4.28,4.31,4.2
20230406_210517.m4a.wav,2.91,2.81,2.93,2.96,2.86,2.89
20230406_205728.m4a.wav,4.07,3.95,4.15,3.66,3.64,3.89
20230406_212802.m4a.wav,4.08,3.86,3.86,4.29,4.1,4.04
20230406_211856.m4a.wav,3.86,3.88,3.56,3.97,4.09,3.87
20230406_212008.m4a.wav,3.97,4.21,3.99,4.1,3.94,4.04
20230406_212056.m4a.wav,4.25,4.19,4.07,4.34,4.12,4.19
20230406_212156.m4a.wav,4.21,4.15,4.1,4.06,4.13,4.13
20230406_212307.m4a.wav,3.77,4.17,4.24,4.06,4.28,4.1
20230406_212352.m4a.wav,3.62,3.14,3.08,3.7,3.49,3.4
20230406_212526.m4a.wav,4.21,4.06,3.85,4.11,3.91,4.03
20230406_212700.m4a.wav,4.42,4.05,4.16,4.03,4.31,4.19
20230406_212846.m4a.wav,4.23,4.21,4.15,4.15,4.21,4.19
20230406_213015.m4a.wav,4.02,4.15,3.77,4.24,3.87,4.01
20230406_213121.m4a.wav,3.91,4.18,3.78,3.99,3.92,3.96
20230406_213207.m4a.wav,4.57,4.54,4.45,4.24,4.19,4.4
20230406_213237.m4a.wav,4.21,3.99,4.19,4,3.96,4.07
20230406_213335.m4a.wav,4.03,3.43,3.98,4.11,3.92,3.89
20230406_213410.m4a.wav,4.04,4.19,4.25,3.99,4.16,4.13
20230406_213454.m4a.wav,3.98,4.02,3.85,3.84,4.15,3.97
20230406_202942.m4a.wav,3.67,3.97,4.09,3.82,3.96,3.9
20230406_203152.m4a.wav,4.18,4.71,4.18,4.09,4.42,4.32
20230406_203736.m4a.wav,4.08,3.68,4.01,3.98,4.24,4
